CustomerKey|SalesAmount|Awarded|PointAwardedinReturnTrnx|Used|TotalAwarded|TotalUsed|JuneEndUsed|DecEndUsed|PointUsageinCampaignPeriods
89|2386,06|11,93|0|0|11,93|0|0|0|0
90|2326,28|11,6301|0|0|11,6301|0|0|0|0
91|99,99|0,5|0|0|0,5|0|0|0|0
93|1712,69|10,9399|0|0|10,9399|0|0|0|0
94|4364,4|40,7598|0|0|40,7598|0|0|0|0
95|949,5|5,7|0|0|5,7|0|0|0|0
97|3258,95|19,6701|0|0|19,6701|0|0|0|0
99|2415,55|13,23|0|0|13,23|0|0|0|0
103|223,92|1,12|0|0|1,12|0|0|0|0
104|1907,45|8,34|0|0|8,34|0|0|0|0
105|608,87|3,7899|0|23|3,7899|23|0|23|1
106|3194,32|29,0001|0|22,63|29,0001|22,63|17,43|0|0,7702
110|449,9|2,25|0|0|2,25|0|0|0|0
111|1408,95|13,46|0|0|13,46|0|0|0|0
117|7249,26|46,17|0|20|46,17|20|0|20|1
121|315,89|1,58|0|0|1,58|0|0|0|0
122|13483,99|94,3608|0|74,9298|94,3608|74,9298|74,9298|0|1
124|1816,77|10,24|0|18,54|10,24|18,54|0|0|0
127|863,88|6,07|0|0|6,07|0|0|0|0
129|237,49|2,37|0|0|2,37|0|0|0|0
132|284,87|2,85|0|0|2,85|0|0|0|0
134|1703,25|8,5197|0|0|8,5197|0|0|0|0
135|2564,14|12,7899|0|7,29|12,7899|7,29|0|0|0
136|2324,22|16,3001|0|0|16,3001|0|0|0|0
137|8787,91|78,8393|0|11,26|78,8393|11,26|0|0|0
138|6936,67|62,1003|0|26,4199|62,1003|26,4199|0|0|0
140|2106|15,17|0|9,1|15,17|9,1|0|0|0
141|3422,56|24,0899|0|17,86|24,0899|17,86|0|9,86|0,552
142|409,77|2,05|0|0|2,05|0|0|0|0
143|743,24|7,43|0|0|7,43|0|0|0|0
145|3007,4|18,0299|0|0|18,0299|0|0|0|0
146|1672,78|12,6699|0|0|12,6699|0|0|0|0
148|2026,82|15,6597|0|39,1|15,6597|39,1|0|0|0
152|639,88|3,1998|0|0|3,1998|0|0|0|0
156|7158,63|55,7497|0|0|55,7497|0|0|0|0
157|3829,53|19,1396|0|0|19,1396|0|0|0|0
158|2345,36|19,31|0|0|19,31|0|0|0|0
159|7401,48|49,0102|0|39,1001|49,0102|39,1001|0|0|0
163|2858,14|17,9701|0|0|17,9701|0|0|0|0
164|279,94|2,8|0|0|2,8|0|0|0|0
165|529,87|3,05|0|0|3,05|0|0|0|0
166|472,89|3,73|0|0|3,73|0|0|0|0
167|1393,15|13,94|0|10,5001|13,94|10,5001|0|0|0
169|3554,61|23,7197|0|36,24|23,7197|36,24|0|32,24|0,8896
172|199,98|1|0|0|1|0|0|0|0
173|202,46|1,01|0|0|1,01|0|0|0|0
174|412,37|3,99|0|0|3,99|0|0|0|0
175|169,94|0,85|0|0|0,85|0|0|0|0
176|224,89|1,6|0|0|1,6|0|0|0|0
177|1837,78|11,84|0|0|11,84|0|0|0|0
178|1809,43|14,8501|0|0|14,8501|0|0|0|0
179|884,72|8,8501|0|0|8,8501|0|0|0|0
180|1157,6|5,7899|0|0|5,7899|0|0|0|0
181|892,16|6,07|0|0|6,07|0|0|0|0
183|14645,47|133,7099|0|87,24|133,7099|87,24|0|0|0
185|3820,81|29,23|0|18,8699|29,23|18,8699|0|0|0
186|2480,64|16,5698|0|0|16,5698|0|0|0|0
190|242,48|1,96|0|0|1,96|0|0|0|0
192|297,92|1,4899|0|0|1,4899|0|0|0|0
194|1069,85|10,7|0|0|10,7|0|0|0|0
197|373,97|3,39|0|0|3,39|0|0|0|0
198|103,87|0,52|0|0|0,52|0|0|0|0
199|4639,79|81,2897|0|0|81,2897|0|0|0|0
203|379,99|3,8|0|0|3,8|0|0|0|0
205|7552,79|57,3297|0|75,1701|57,3297|75,1701|0|55,59|0,7395
207|169,98|0,85|0|0|0,85|0|0|0|0
208|779,51|5,7501|0|0|5,7501|0|0|0|0
209|1086,62|6,4897|0|0|6,4897|0|0|0|0
211|477,79|3,03|0|0|3,03|0|0|0|0
214|1593,4|7,9698|0|0|7,9698|0|0|0|0
215|3083,45|21,59|0|21,79|21,59|21,79|0|13,71|0,6291
219|41,96|0,42|0|0|0,42|0|0|0|0
220|854,79|10,7|0|0|10,7|0|0|0|0
221|2975,4|20,3098|0|0|20,3098|0|0|0|0
222|5802,86|32,14|0|10,1001|32,14|10,1001|0|10,1001|1
223|1062,02|6,6001|0|0|6,6001|0|0|0|0
224|399,9|4|0|0|4|0|0|0|0
225|63,92|0,32|0|0|0,32|0|0|0|0
227|1879,01|12,3001|0|0|12,3001|0|0|0|0
228|1705,13|11,45|0|0|11,45|0|0|0|0
230|309,9|2,4|0|0|2,4|0|0|0|0
234|5206,41|26,0393|0|18|26,0393|18|0|0|0
237|1969,46|11,95|0|0|11,95|0|0|0|0
240|2650,46|18,0101|0|0|18,0101|0|0|0|0
242|361,84|4,02|0|0|4,02|0|0|0|0
243|1206,35|11,5199|0|24,24|11,5199|24,24|0|24,24|1
244|2376,34|12,6199|0|0|12,6199|0|0|0|0
245|51145,72|316,3499|0|0|316,3499|0|0|0|0
246|2555,25|12,7801|0|0|12,7801|0|0|0|0
248|1222,92|10,2901|0|0|10,2901|0|0|0|0
250|84,91|0,4301|0|0|0,4301|0|0|0|0
251|674,8|3,3801|0|0|3,3801|0|0|0|0
252|532,65|3,9299|0|0|3,9299|0|0|0|0
254|29771,18|155,9798|0|37,5198|155,9798|37,5198|0|0|0
255|1306,04|6,9799|0|0|6,9799|0|0|0|0
256|6433,86|49,2399|0|0|49,2399|0|0|0|0
257|1289,7|6,4498|0|0|6,4498|0|0|0|0
258|3582,11|22,4899|0|0|22,4899|0|0|0|0
259|2646,36|18,04|0|14,37|18,04|14,37|0|14,37|1
262|312,83|3,13|0|2,89|3,13|2,89|0|0|0
263|857,48|3,2899|0|0|3,2899|0|0|0|0
264|4480,19|27,4998|0|0|27,4998|0|0|0|0
269|1512,94|8,2301|0|0|8,2301|0|0|0|0
270|549,77|2,75|0|0|2,75|0|0|0|0
271|1621,68|10,7101|0|0|10,7101|0|0|0|0
273|116,99|1,17|0|0|1,17|0|0|0|0
274|2871,11|22,0701|0|0|22,0701|0|0|0|0
275|5819,57|32,2392|0|0|32,2392|0|0|0|0
277|536,92|2,69|0|0|2,69|0|0|0|0
278|4058,5|30,8399|0|8,43|30,8399|8,43|0|0|0
279|337,88|1,69|0|0|1,69|0|0|0|0
286|529,72|4,3|0|0|4,3|0|0|0|0
288|467,93|2,34|0|0|2,34|0|0|0|0
289|332,87|1,66|0|0|1,66|0|0|0|0
291|8661,4|70,1797|0|65|70,1797|65|0|0|0
294|169,95|0,85|0|0|0,85|0|0|0|0
296|322,89|3,2301|0|0|3,2301|0|0|0|0
298|160,96|1,61|0|0|1,61|0|0|0|0
301|899,73|4,4999|0|0|4,4999|0|0|0|0
306|1230,84|6,9999|0|0|6,9999|0|0|0|0
307|18287,23|143,7599|0|129,5902|143,7599|129,5902|18,46|0|0,1424
309|669,89|6,35|0|0|6,35|0|0|0|0
311|169,95|1,7|0|0|1,7|0|0|0|0
312|3071,99|15,4299|0|0|15,4299|0|0|0|0
313|760,09|4,1901|0|7,71|4,1901|7,71|1,49|0|0,1932
314|1679,66|10,9999|0|0|10,9999|0|0|0|0
316|345,86|3,43|0|0|3,43|0|0|0|0
319|682,83|6,6501|0|0|6,6501|0|0|0|0
326|79,99|0,4|0|0|0,4|0|0|0|0
327|973,1|4,8599|0|0|4,8599|0|0|0|0
329|3330,72|22,8602|0|0|22,8602|0|0|0|0
330|1111,51|8,6299|0|0|8,6299|0|0|0|0
332|2373,21|13,67|0|13,81|13,67|13,81|0|0|0
333|1747,38|8,74|0|3,9999|8,74|3,9999|0|3,9999|1
334|1637,13|12,2201|0|0|12,2201|0|0|0|0
335|815,72|4,1498|0|0|4,1498|0|0|0|0
337|847,22|6,79|0|5|6,79|5|0|5|1
338|1219,65|6,0899|0|0|6,0899|0|0|0|0
341|1869,45|9,3499|0|0|9,3499|0|0|0|0
342|4621,7|37,2701|0|22,13|37,2701|22,13|0|15,53|0,7017
344|329,85|1,65|0|0|1,65|0|0|0|0
345|1615,91|15,4399|0|0|15,4399|0|0|0|0
347|2567,52|17,3403|0|0|17,3403|0|0|0|0
350|365,11|1,8501|0|0|1,8501|0|0|0|0
351|685,68|3,4299|0|0|3,4299|0|0|0|0
355|569,77|5,7|0|0|5,7|0|0|0|0
356|983,05|5,52|0|0|5,52|0|0|0|0
357|1218,29|8,9899|0|0|8,9899|0|0|0|0
358|1769,71|11,5|0|0|11,5|0|0|0|0
359|279,94|1,4|0|0|1,4|0|0|0|0
360|521,77|3,9701|0|0|3,9701|0|0|0|0
362|516,5|5,22|0|0|5,22|0|0|0|0
363|754,42|3,78|0|0|3,78|0|0|0|0
364|1465,97|8,28|0|0|8,28|0|0|0|0
366|1119,79|5,5999|0|0|5,5999|0|0|0|0
367|2448,68|18,7101|0|8,58|18,7101|8,58|0|0|0
369|1710,15|7,2299|0|0|7,2299|0|0|0|0
372|439,32|3,3899|0|0|3,3899|0|0|0|0
374|795,18|4,74|0|0|4,74|0|0|0|0
375|287,84|2,88|0|0|2,88|0|0|0|0
376|924,51|5,93|0|0|5,93|0|0|0|0
378|9348,52|55,9499|0|47,23|55,9499|47,23|0|18,63|0,3944
382|169,95|0,85|0|0|0,85|0|0|0|0
383|619,8|3,1|0|0|3,1|0|0|0|0
385|549,75|5,5001|0|0|5,5001|0|0|0|0
386|1706,06|8,5398|0|0|8,5398|0|0|0|0
388|3409,33|30,7302|0|0|30,7302|0|0|0|0
390|2439,37|15,4498|0|0|15,4498|0|0|0|0
392|709,94|4,4901|0|2,58|4,4901|2,58|0|2,58|1
395|709,7|4,6499|0|0|4,6499|0|0|0|0
396|1067,13|5,3399|0|0|5,3399|0|0|0|0
397|20191,37|159,53|0|142,3399|159,53|142,3399|0|69,4799|0,4881
398|1504,77|12,02|0|0|12,02|0|0|0|0
399|6402,19|39,6298|0|17,24|39,6298|17,24|0|9,54|0,5533
400|2011,18|12,6001|0|10,85|12,6001|10,85|10,85|0|1
404|388,32|1,94|0|1,55|1,94|1,55|0|0|0
405|1893,36|13,7998|0|0|13,7998|0|0|0|0
406|134,99|0,68|0|0|0,68|0|0|0|0
409|1085,65|8,08|0|0|8,08|0|0|0|0
410|1505,53|7,5601|0|0|7,5601|0|0|0|0
414|1379,63|6,8999|0|0|6,8999|0|0|0|0
417|550,68|2,75|0|0|2,75|0|0|0|0
421|859,8|6,6|0|0|6,6|0|0|0|0
422|1302,55|7,3|0|0|7,3|0|0|0|0
423|210,92|2,11|0|0|2,11|0|0|0|0
425|1100,28|6,8899|0|0|6,8899|0|0|0|0
426|2472,34|19,9503|0|0|19,9503|0|0|0|0
428|539,9|2,7|0|0|2,7|0|0|0|0
429|1779,55|13,35|0|0|13,35|0|0|0|0
430|197,91|0,99|0|0|0,99|0|0|0|0
432|951,93|7,57|0|0|7,57|0|0|0|0
435|5871,8|39,03|0|28|39,03|28|28|0|1
437|746,69|5,31|0|4,51|5,31|4,51|0|0|0
438|746,75|4,7701|0|0|4,7701|0|0|0|0
439|495,03|3,78|0|0|3,78|0|0|0|0
440|1239,41|7,22|0|0|7,22|0|0|0|0
441|10428,88|69,1003|0|71,7801|69,1003|71,7801|42,63|14,1501|0,791
442|2497,11|15,9998|0|0|15,9998|0|0|0|0
443|194,89|1,2|0|0|1,2|0|0|0|0
444|390,82|3,91|0|0|3,91|0|0|0|0
445|1089,83|5,45|0|0|5,45|0|0|0|0
446|691,8|5,74|0|0|5,74|0|0|0|0
447|2506,57|21,6201|0|0|21,6201|0|0|0|0
448|418,27|2,0899|0|0|2,0899|0|0|0|0
451|399,94|28,35|0|0|28,35|0|0|0|0
457|1305,82|4,95|0|0|4,95|0|0|0|0
458|1345,69|11,4299|0|0|11,4299|0|0|0|0
462|1053,46|5,7199|0|0|5,7199|0|0|0|0
465|692,85|4,7501|0|0|4,7501|0|0|0|0
466|801,66|5,04|0|0|5,04|0|0|0|0
469|787,3|5,3|0|0|5,3|0|0|0|0
470|1019,74|7,3|0|0|7,3|0|0|0|0
471|1345,68|13,46|0|0|13,46|0|0|0|0
472|143,98|0,7199|0|0|0,7199|0|0|0|0
476|363,87|1,82|0|0|1,82|0|0|0|0
477|1090,58|7,49|0|0|7,49|0|0|0|0
478|3296,46|23,4201|0|0|23,4201|0|0|0|0
479|169,95|0,85|0|0|0,85|0|0|0|0
480|5760,04|38,5703|0|0|38,5703|0|0|0|0
481|2614,87|13,1497|0|0|13,1497|0|0|0|0
482|161,98|1,62|0|0|1,62|0|0|0|0
483|84,91|0,42|0|5,65|0,42|5,65|5,65|0|1
484|209,98|1,05|0|0|1,05|0|0|0|0
485|680,31|3,4|0|0|3,4|0|0|0|0
487|380,38|3,8099|0|0|3,8099|0|0|0|0
489|4515,39|30,74|0|36,6199|30,74|36,6199|0|0|0
490|349,95|1,75|0|0|1,75|0|0|0|0
491|2427,72|14,6898|0|12,93|14,6898|12,93|12,93|0|1
492|849,68|4,3101|0|0|4,3101|0|0|0|0
495|14748,95|129,4297|0|52,4|129,4297|52,4|0|0|0
500|425,06|2,1299|0|0|2,1299|0|0|0|0
501|887,98|4,44|0|0|4,44|0|0|0|0
502|1044,02|6,6099|0|38,2|6,6099|38,2|0|38,2|1
503|534,74|2,68|0|0|2,68|0|0|0|0
504|379,97|1,9|0|0|1,9|0|0|0|0
505|2090,18|17,41|0|0|17,41|0|0|0|0
510|3235,49|18,6999|0|0|18,6999|0|0|0|0
520|863,8|6,4|0|0|6,4|0|0|0|0
522|12684,54|82,5398|0|64,53|82,5398|64,53|0|42,82|0,6635
527|1549,56|10,4201|0|0|10,4201|0|0|0|0
528|559,66|3,7999|0|0|3,7999|0|0|0|0
531|344,77|2,7|0|0|2,7|0|0|0|0
534|775,83|2,95|0|0|2,95|0|0|0|0
541|2037,84|10,2201|0|0|10,2201|0|0|0|0
544|443,82|2,22|0|0|2,22|0|0|0|0
549|5800,61|31,9402|0|0|31,9402|0|0|0|0
552|2706,51|26,3199|0|15,89|26,3199|15,89|0|2,4|0,151
554|1936,34|13,7499|0|0|13,7499|0|0|0|0
557|5900,36|41,5402|0|18|41,5402|18|0|0|0
558|3096,12|27,8297|0|36,16|27,8297|36,16|0|36,16|1
559|6753,1|42,9296|0|0|42,9296|0|0|0|0
560|1750,68|8,7399|0|6,86|8,7399|6,86|0|0|0
561|1924,75|9,6199|0|0|9,6199|0|0|0|0
563|4802,42|26,1001|0|0|26,1001|0|0|0|0
567|914,75|5,5799|0|0|5,5799|0|0|0|0
568|3253,25|32,5301|0|6,1501|32,5301|6,1501|0|0|0
569|3027,03|17,8098|0|0|17,8098|0|0|0|0
571|1856,88|12,1799|0|0|12,1799|0|0|0|0
572|183,92|0,9199|0|0|0,9199|0|0|0|0
573|139,98|0,7299|0|0|0,7299|0|0|0|0
574|227,96|2,28|0|0|2,28|0|0|0|0
575|4435,1|60,75|0|24,43|60,75|24,43|0|7,4|0,3029
578|6219,68|53,8999|0|0|53,8999|0|0|0|0
580|918,96|6,3802|0|0|6,3802|0|0|0|0
582|809,89|7,5499|0|0|7,5499|0|0|0|0
583|1504,45|16,9999|0|0|16,9999|0|0|0|0
585|6280,18|43,1497|0|0|43,1497|0|0|0|0
586|2780,76|26,5298|0|24,9799|26,5298|24,9799|24,9799|0|1
587|1174,4|5,8698|0|0|5,8698|0|0|0|0
588|548,02|3,7|0|0|3,7|0|0|0|0
590|8330,16|56,3695|0|0|56,3695|0|0|0|0
591|194,72|1,57|0|0|1,57|0|0|0|0
593|3274,96|16,3797|0|0|16,3797|0|0|0|0
594|149,95|0,75|0|0|0,75|0|0|0|0
595|5658,68|48,9699|0|35,95|48,9699|35,95|0|0|0
596|1198,51|8,1599|0|0|8,1599|0|0|0|0
597|329,95|1,65|0|0|1,65|0|0|0|0
598|209,92|1,0499|0|0|1,0499|0|0|0|0
599|1024,67|4,84|0|0|4,84|0|0|0|0
601|99,95|1|0|0|1|0|0|0|0
603|8413,86|63,949|0|0|63,949|0|0|0|0
605|5183,67|36,23|0|10,46|36,23|10,46|0|0|0
606|1368,54|8,09|0|0|8,09|0|0|0|0
607|2903,45|21,4596|0|17,86|21,4596|17,86|0|0|0
611|9638,15|80,7|0|80,96|80,7|80,96|0|21,64|0,2672
612|218,45|2,19|0|0|2,19|0|0|0|0
613|519,89|2,6|0|0|2,6|0|0|0|0
614|3888,5|76,7398|0|0|76,7398|0|0|0|0
616|833,08|4,17|0|3,69|4,17|3,69|0|0|0
618|2848,03|18,2597|0|0|18,2597|0|0|0|0
619|335,88|1,68|0|0|1,68|0|0|0|0
620|1736,46|12,7201|0|0|12,7201|0|0|0|0
623|693,87|3,9302|0|0|3,9302|0|0|0|0
624|1093,16|7,03|0|0|7,03|0|0|0|0
625|1433,11|12,77|0|7|12,77|7|0|0|0
630|26308,75|206,7296|0|53,4699|206,7296|53,4699|0|0|0
632|1003,26|8,14|0|2,91|8,14|2,91|0|2,91|1
634|1099,64|5,5|0|0|5,5|0|0|0|0
635|824,69|4,12|0|0|4,12|0|0|0|0
638|2637,46|20,42|0|0|20,42|0|0|0|0
639|5763,81|49,3197|0|0|49,3197|0|0|0|0
643|1622,5|8,1103|0|0|8,1103|0|0|0|0
644|1692,02|9,3299|0|17,26|9,3299|17,26|0|0|0
645|418,38|2,09|0|0|2,09|0|0|0|0
646|1839,15|8,5897|0|0|8,5897|0|0|0|0
647|4235,68|34,3199|0|25,74|34,3199|25,74|0|0|0
649|7928,9|70,6702|0|60,13|70,6702|60,13|0|0|0
651|899,81|4,5|0|0|4,5|0|0|0|0
652|1363,51|8,5299|0|0|8,5299|0|0|0|0
654|3074,34|15,43|0|0|15,43|0|0|0|0
655|1521,61|13,4301|0|0|13,4301|0|0|0|0
656|1676,3|9,6099|0|0|9,6099|0|0|0|0
657|1170,98|5,83|0|0|5,83|0|0|0|0
658|104,48|1,0499|0|0|1,0499|0|0|0|0
661|269,87|1,35|0|0|1,35|0|0|0|0
663|669,87|4,2|0|0|4,2|0|0|0|0
666|250,43|1,25|0|0|1,25|0|0|0|0
669|1378,5|6,8899|0|0|6,8899|0|0|0|0
670|1857,22|13,3399|0|6,9999|13,3399|6,9999|0|0|0
671|941,71|4,71|0|0|4,71|0|0|0|0
673|299,99|1,5|0|0|1,5|0|0|0|0
676|299,9|1,5301|0|0|1,5301|0|0|0|0
677|5742,95|45,3799|0|19,85|45,3799|19,85|0|0|0
678|553,88|4,29|0|0|4,29|0|0|0|0
679|1809,43|9,05|0|0|9,05|0|0|0|0
681|314,93|0,75|0|0|0,75|0|0|0|0
683|636,95|4,02|0|0|4,02|0|0|0|0
685|539,67|4,1801|0|0|4,1801|0|0|0|0
686|2711,62|16,8999|0|0|16,8999|0|0|0|0
690|16669,17|127,63|0|61,2099|127,63|61,2099|0|43,71|0,7141
692|1554,43|9,08|0|0|9,08|0|0|0|0
693|1203,1|6,0099|0|0|6,0099|0|0|0|0
695|1664,71|8,33|0|0|8,33|0|0|0|0
696|2566,26|13,8798|0|10,95|13,8798|10,95|0|0|0
698|1062,55|5,1598|0|28|5,1598|28|0|28|1
699|1237,63|6,1899|0|0|6,1899|0|0|0|0
700|1081,29|7,1201|0|0|7,1201|0|0|0|0
701|99,99|0,5|0|0|0,5|0|0|0|0
704|2978,43|26,5601|0|30,57|26,5601|30,57|0|0|0
705|769,35|3,8501|0|0|3,8501|0|0|0|0
710|885,72|4,43|0|0|4,43|0|0|0|0
714|3058,59|19,8801|0|32,38|19,8801|32,38|0|28|0,8647
716|1595,45|10,0801|0|0|10,0801|0|0|0|0
717|4429,52|25,1002|0|0|25,1002|0|0|0|0
719|3557,19|19,2201|0|3,93|19,2201|3,93|0|0|0
720|2226,3|32,0397|0|0|32,0397|0|0|0|0
721|127,92|0,6399|0|0|0,6399|0|0|0|0
722|5414,43|32,63|0|0|32,63|0|0|0|0
729|3155,64|17,6499|0|8,5799|17,6499|8,5799|0|0|0
732|1359,39|9,33|0|0|9,33|0|0|0|0
738|1653,46|11,1701|0|0|11,1701|0|0|0|0
740|914,7|6,1501|0|0|6,1501|0|0|0|0
741|1557,2|7,7899|0|0|7,7899|0|0|0|0
744|7802,27|62,4899|0|29|62,4899|29|0|29|1
745|6033,31|32,4999|0|25,71|32,4999|25,71|0|25,71|1
751|3768,3|29,9298|0|0|29,9298|0|0|0|0
753|1102,72|6,7499|0|0|6,7499|0|0|0|0
756|229,82|1,1499|0|0|1,1499|0|0|0|0
759|307,88|1,53|0|0|1,53|0|0|0|0
760|2039,31|12,09|0|0|12,09|0|0|0|0
761|4685,52|38,2504|0|13,11|38,2504|13,11|0|0|0
762|719,81|3,5999|0|0|3,5999|0|0|0|0
763|6301,43|51,83|0|27|51,83|27|0|0|0
765|765,28|4,3601|0|0|4,3601|0|0|0|0
766|1494,91|8,55|0|0|8,55|0|0|0|0
767|89,96|0,45|0|0|0,45|0|0|0|0
775|1837,47|12,6101|0|6|12,6101|6|0|0|0
776|4309,52|25,1805|0|0|25,1805|0|0|0|0
777|1302,24|6,5099|0|0|6,5099|0|0|0|0
781|8803,77|48,8593|0|33,9|48,8593|33,9|0|0|0
782|3064,87|26,9302|0|0|26,9302|0|0|0|0
784|1449,63|7,25|0|0|7,25|0|0|0|0
786|767,52|6,2601|0|0|6,2601|0|0|0|0
787|5370,42|34,42|0|32,3601|34,42|32,3601|7,62|0|0,2354
788|209,36|1,48|0|0|1,48|0|0|0|0
790|289,89|1,45|0|0|1,45|0|0|0|0
792|10816,55|92,0098|0|80,9202|92,0098|80,9202|26,7702|33,8|0,7485
793|509,75|5,1|0|0|5,1|0|0|0|0
797|789,81|4,9|0|0|4,9|0|0|0|0
803|9935,45|64,5002|0|58,99|64,5002|58,99|0|9,67|0,1639
804|241,86|1,21|0|0|1,21|0|0|0|0
805|197,97|0,9899|0|0|0,9899|0|0|0|0
806|1818,89|9,1|0|0|9,1|0|0|0|0
808|1004,62|6,06|0|0|6,06|0|0|0|0
812|519,97|2,6|0|0|2,6|0|0|0|0
813|4074,17|23,7297|0|12|23,7297|12|0|0|0
815|11126,29|85,7702|0|16,4|85,7702|16,4|0|0|0
816|1183,9|7,75|0|0|7,75|0|0|0|0
817|236,96|1,7299|0|0|1,7299|0|0|0|0
818|12692,94|103,8098|0|0|103,8098|0|0|0|0
820|2352,8|20,69|0|0|20,69|0|0|0|0
821|339,93|1,7|0|0|1,7|0|0|0|0
822|118,41|0|0|0|0|0|0|0|0
826|2745,73|16,11|0|16,82|16,11|16,82|0|7,49|0,4453
828|1993,25|15,7597|0|0|15,7597|0|0|0|0
830|229,8|2,3|0|0|2,3|0|0|0|0
831|1437,82|9,09|0|0|9,09|0|0|0|0
833|749,8|3,75|0|0|3,75|0|0|0|0
838|292,94|1,47|0|0|1,47|0|0|0|0
839|713,26|7,1399|0|0|7,1399|0|0|0|0
841|275,45|2,75|0|0|2,75|0|0|0|0
844|555,84|3,16|0|0|3,16|0|0|0|0
845|2945,8|31,29|0|11,92|31,29|11,92|0|0|0
846|2587,6|20,1999|0|8,72|20,1999|8,72|0|0|0
849|642,87|0,8|0|0|0,8|0|0|0|0
850|340,57|2,7901|0|0|2,7901|0|0|0|0
851|1467|12,4198|0|0|12,4198|0|0|0|0
853|1494,67|9,97|0|0|9,97|0|0|0|0
854|87,94|0,75|0|0|0,75|0|0|0|0
855|1604,34|10,2098|0|0|10,2098|0|0|0|0
856|818,7|5,2499|0|0|5,2499|0|0|0|0
857|4467,66|27,6695|0|20|27,6695|20|0|0|0
858|2119,87|65,4901|0|0|65,4901|0|0|0|0
860|682,71|3,4699|0|0|3,4699|0|0|0|0
863|2613,44|17,29|0|0|17,29|0|0|0|0
864|13830,21|80,0903|0|24,0001|80,0903|24,0001|0|0|0
866|649,79|3,33|0|0|3,33|0|0|0|0
868|149,9|1,5|0|0|1,5|0|0|0|0
869|1310,61|6,08|0|0|6,08|0|0|0|0
872|1019,87|5,1|0|0|5,1|0|0|0|0
874|1126,69|8,89|0|0|8,89|0|0|0|0
875|3323,66|23,8398|0|34,24|23,8398|34,24|0|0|0
878|1290,62|8,5101|0|0|8,5101|0|0|0|0
879|704,97|6,45|0|0|6,45|0|0|0|0
881|199,95|1|0|0|1|0|0|0|0
